rule_id,description,long_description,persona,portfolio,tables_to_join,joins,filters,select_columns,aggregations,conditional_aggregations,groupby_columns,having_conditions,orderby_columns,raw_where,is_distinct
rule_201,Customer KYC Completion Status,Determines whether customer KYC is fully completed.,,,"[""customer_master"", ""kyc_status"", ""kyc_document""]","[{""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id_sk""], ""right_table"": ""kyc_status""}, {""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id_sk""], ""right_table"": ""kyc_document""}]",{},"{""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}}",{},"{""kyc_status"": [{""case"": {""else"": 0, ""then"": 1, ""when"": {""value"": ""TRUE"", ""operator"": ""eq""}}, ""alias"": ""kyc_completion_status"", ""column"": ""kyc_completed_flag"", ""aggregate"": ""MIN"", ""true_result"": ""'Completed'"", ""false_result"": ""'Pending'"", ""final_compare"": {""value"": 1, ""operator"": ""eq""}}]}","{""customer_master"": [""customer_id"", ""customer_name""]}",{},"{""customer_master"": {""customer_id"": ""asc""}}",,f
rule_202,Customers with Missing or Expired KYC Documents,Identifies customers who either have no KYC documents or have at least one expired document based on expiry_flag.,,,"[""customer_master"", ""kyc_document""]","[{""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id_sk""], ""right_table"": ""kyc_document""}]",{},"{""kyc_document"": {""document_type"": ""document_type"", ""document_status"": ""document_status""}, ""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}}",{},{},"{""kyc_document"": [""document_type"", ""document_status""], ""customer_master"": [""customer_id"", ""customer_name""]}","[{""value"": 0, ""logical"": null, ""operator"": ""="", ""expression"": ""COUNT(kyc_document.document_id_sk)""}, {""value"": 1, ""logical"": ""OR"", ""operator"": ""="", ""expression"": ""MAX(CASE WHEN kyc_document.expiry_flag = true THEN 1 ELSE 0 END)""}]","{""customer_master"": {""customer_id"": ""asc""}}",,f
rule_101,Risk Profile - High risk customers (latest assessment),Customers whose most recent risk assessment shows High category,,,"[""customer_master"", ""customer_risk_profile""]","[{""join_type"": ""inner"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""customer_risk_profile""}, {""join_type"": ""inner"", ""left_keys"": [""customer_id"", ""assessment_date""], ""left_table"": ""customer_risk_profile"", ""right_keys"": [""customer_id"", ""max_assessment_date""], ""right_subquery"": {""alias"": ""latest"", ""aggregations"": {""customer_risk_profile"": {""assessment_date"": {""alias"": ""max_assessment_date"", ""function"": ""MAX""}}}, ""select_columns"": {""customer_risk_profile"": {""customer_id"": ""customer_id""}}, ""tables_to_join"": [""customer_risk_profile""], ""groupby_columns"": {""customer_risk_profile"": [""customer_id""]}}}]","{""customer_risk_profile"": {""risk_category"": {""eq"": ""High""}}}","{""customer_master"": {""status"": ""status"", ""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}, ""customer_risk_profile"": {""risk_category"": ""risk_category""}}",{},{},{},[],"{""customer_master"": {""customer_id"": ""asc""}}",,f
rule_102,PEP Relationships or Politically Exposed,Customers with 'Politic' in new_risk_reason OR having PEP relationship (latest assessment),,,"[""customer_master"", ""customer_risk_profile"", ""pep_relationships""]","[{""join_type"": ""inner"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""customer_risk_profile""}, {""join_type"": ""inner"", ""left_keys"": [""customer_id"", ""assessment_date""], ""left_table"": ""customer_risk_profile"", ""right_keys"": [""customer_id"", ""max_assessment_date""], ""right_subquery"": {""alias"": ""latest"", ""aggregations"": {""customer_risk_profile"": {""assessment_date"": {""alias"": ""max_assessment_date"", ""function"": ""MAX""}}}, ""select_columns"": {""customer_risk_profile"": {""customer_id"": ""customer_id""}}, ""tables_to_join"": [""customer_risk_profile""], ""groupby_columns"": {""customer_risk_profile"": [""customer_id""]}}}, {""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""pep_relationships""}]",{},"{""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}, ""customer_risk_profile"": {""new_risk_reason"": ""new_risk_reason""}}",{},{},{},[],"{""customer_master"": {""customer_id"": ""asc""}}",,t
rule_103,Customers with invalid / missing customer type,Lists customers where customer_type_valid is 'No' or 'NA',,,"[""customer_master""]",[],"{""customer_type_valid"": {""in"": [""No"", ""NA""]}}","{""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name"", ""compliance_flag"": ""compliance_flag"", ""customer_type_valid"": ""customer_type_valid""}}",{},{},{},[],"{""customer_master"": {""customer_id"": ""asc""}}",,t
rule_203,Customers whose KYC review is due or overdue,Track customers with positive days_overdue,,,"[""customer_master"", ""kyc_status"", ""kyc""]","[{""join_type"": ""inner"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id_sk""], ""right_table"": ""kyc_status""}, {""join_type"": ""inner"", ""left_keys"": [""kyc_id_sk""], ""left_table"": ""kyc_status"", ""right_keys"": [""kyc_id_sk""], ""right_table"": ""kyc""}]","{""kyc_status"": {""days_overdue"": {""gt"": 0}}}","{""kyc"": {""next_review_due"": {""alias"": ""next_review_due"", ""expression"": ""to_char(kyc.next_review_due AT TIME ZONE 'Asia/Kolkata', 'YYYY-MM-DD')""}}, ""kyc_status"": {""days_overdue"": ""days_overdue""}, ""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}}",{},{},{},[],"{""customer_master"": {""customer_id"": ""asc""}}",,t
rule_301,Geography Risk Flag based on High Risk Customer Count,"Groups customers by country, counts total and high-risk customers, and flags geographies with 5 or more high-risk customers as High Risk Geography.",,,"[""customer_master"", ""customer_risk_profile""]","[{""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""customer_risk_profile""}]",{},"{""customer_master"": {""country_code"": ""country_code""}}","{""customer_master"": {""customer_id"": {""alias"": ""total_customers"", ""function"": ""COUNT""}}}","{""customer_risk_profile"": [{""case"": {""else"": null, ""then"": 1, ""when"": {""value"": ""High"", ""operator"": ""eq""}}, ""alias"": ""high_risk_customers"", ""table"": ""customer_risk_profile"", ""column"": ""risk_category"", ""aggregate"": ""COUNT""}, {""case"": {""else"": null, ""then"": 1, ""when"": {""value"": ""High"", ""operator"": ""eq""}}, ""alias"": ""geography_risk_flag"", ""table"": ""customer_risk_profile"", ""column"": ""risk_category"", ""aggregate"": ""COUNT"", ""true_result"": ""High Risk Geography"", ""false_result"": ""Normal"", ""final_compare"": {""value"": 5, ""operator"": ""ge""}}]}","{""customer_master"": [""country_code""]}",[],"{""_alias"": {""high_risk_customers"": ""desc""}}",,f
rule_302,Customer UBO relationship details,Lists all customers with their UBO (Ultimate Beneficial Owner) information including ownership percentage and risk category,,,"[""customer_master"", ""customer_ubo""]","[{""join_type"": ""left"", ""left_keys"": [""customer_id""], ""left_table"": ""customer_master"", ""right_keys"": [""customer_id""], ""right_table"": ""customer_ubo""}]",{},"{""customer_ubo"": {""country"": ""country"", ""ubo_name"": ""ubo_name"", ""risk_category"": ""risk_category"", ""ownership_percentage"": ""ownership_percentage""}, ""customer_master"": {""customer_id"": ""customer_id"", ""customer_name"": ""customer_name""}}",{},{},{},[],"{""customer_ubo"": {""ownership_percentage"": ""desc""}, ""customer_master"": {""customer_id"": ""asc""}}",,f
